Time to complete exam,Year,Nachklausur,Grade,Course,Attemptnumber,Bachelor/Master,Study
58,2023,No,4,Vis,1,WirtschaftsInformatik,Master
79,2023,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
64,2023,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
15,2023,No,5,Vis,1,WirtschaftsInformatik,Master
64,2023,No,5,Vis,3,WirtschaftsInformatik,Master
72,2023,No,3.3,Vis,3,WirtschaftsInformatik,Master
65,2023,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
51,2023,No,3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
68,2023,No,3,Vis,1,WirtschaftsInformatik,Master
79,2023,No,3.7,Vis,1,WirtschaftsInformatik,Bachelor
34,2023,No,5,Vis,1,WirtschaftsInformatik,Master
68,2023,No,1.7,Vis,1,(Wirtschafts-)Mathematik,Master
66,2023,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
68,2023,No,3,Vis,1,(Wirtschafts-)Mathematik,Master
47,2023,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
69,2023,No,2.7,Vis,1,WirtschaftsInformatik,Master
15,2023,yes,5,Vis,1,WirtschaftsInformatik,Master
74,2023,yes,4,Vis,1,WirtschaftsInformatik,Master
79,2023,yes,3.7,Vis,2,WirtschaftsInformatik,Bachelor
73,2023,yes,2,Vis,1,(Wirtschafts-)Mathematik,Master
65,2023,yes,1.7,Vis,2,WirtschaftsInformatik,Master
15,2023,yes,5,Vis,1,WirtschaftsInformatik,Bachelor
72,2023,yes,5,Vis,1,(Wirtschafts-)Mathematik,Master
63,2023,yes,2.7,Vis,1,WirtschaftsInformatik,Bachelor
77,2023,yes,2.3,Vis,3,(Wirtschafts-)Mathematik,Master
63,2023,yes,4,Vis,1,WirtschaftsInformatik,Master
24,2023,yes,5,Vis,1,WirtschaftsInformatik,Master
81,2023,yes,3.7,Vis,1,(Wirtschafts-)Mathematik,Master
80,2023,yes,3.3,Vis,1,WirtschaftsInformatik,Bachelor
63,2023,yes,3.3,Vis,1,WirtschaftsInformatik,Bachelor
78,2023,yes,1,Vis,1,(Wirtschafts-)Mathematik,Bachelor
59,2023,yes,2,Vis,1,WirtschaftsInformatik,Master
